1,ID,Motorway,SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,Great crested newt
48,47,A1,25000,5,1,0,2,9,7,3,4,,0,0,0,1,1,0,0,1,0,0,0
49,48,A1,40000,1,1,1,2,2,6,3,2,100,5,0,0,?,1,1,0,1,0,1,0
50,49,A1,1900,7,12,4,2,6,7,0,0,100,5,5,0,1,1,1,0,0,1,1,0
51,50,A1,30,1,1,2,2,7,6,0,0,75,0,1,0,1,0,1,1,0,0,1,0
52,51,A1,4300,1,1,3,1,2,2,0,0,100,5,5,0,1,1,1,1,0,1,0,1
53,52,A1,4000,1,1,3,1,1,2,0,0,100,5,5,0,1,1,1,1,0,0,0,0
54,53,A1,300,1,1,4,1,2,6,0,0,99,2,2,0,1,0,1,0,0,0,0,0
55,54,A1,400,1,1,2,1,7,6,0,0,100,0,1,0,1,0,1,0,0,0,1,0
56,55,A1,1000,1,1,1,2,2,1,0,0,100,5,5,0,1,1,1,1,1,1,1,0
57,56,A1,1500,2,?,2,7,2,6,1,2,100,5,0,0,1,0,1,1,0,0,0,0
58,57,A1,300,1,14,3,7,2,1,0,0,100,5,5,0,1,1,1,1,0,1,1,0
59,58,A1,600,1,1,2,7,1,10,0,0,100,2,2,0,1,0,0,0,0,1,0,0
60,59,A1,28300,4,1,1,2,7,6,3,2,100,0,0,0,1,1,1,1,1,0,0,0
61,60,A1,1000,1,1,0,1,6,7,3,3,75,0,0,0,1,1,0,1,0,0,0,0
62,61,A1,50,1,1,2,2,7,10,0,0,100,5,5,0,1,1,1,1,1,0,0,0
63,62,A1,9000,2,2,0,10,1,7,1,2,100,1,1,0,1,1,0,1,0,0,0,0
64,63,A1,19300,2,1,1,2,6,1,3,3,75,2,0,0,1,1,1,1,1,1,0,0
65,64,A1,100,1,1,4,2,9,1,0,0,100,1,2,0,1,1,0,1,0,0,0,0
66,65,A1,3500,1,?,0,6,9,2,0,0,50,0,0,0,1,1,1,1,0,0,0,0
67,66,A1,300,1,12,3,7,2,1,0,0,100,5,5,0,1,1,1,0,0,0,0,0
68,67,A1,100,1,12,4,7,2,1,0,0,100,5,5,0,1,0,1,0,0,0,0,0
69,68,A1,200,1,12,4,7,2,6,0,0,100,0,0,0,1,0,1,0,0,0,0,0
70,69,A1,300,1,12,4,2,2,7,0,0,100,2,5,0,1,0,1,0,0,0,0,0
71,70,A1,300,1,11,3,7,1,1,0,0,100,10,10,0,1,1,1,1,0,1,0,0
72,71,A1,300,1,11,3,1,2,10,0,0,100,10,10,0,1,1,1,0,1,0,0,0
73,72,A1,300,?,14,3,7,2,1,0,0,100,5,5,0,1,1,1,1,0,0,0,0
74,73,A1,1000,1,1,2,2,7,9,0,0,75,0,0,0,1,0,0,1,0,0,0,0
75,74,A1,9100,1,1,0,7,10,2,3,3,100,5,5,0,1,1,0,0,0,0,0,0
76,75,A1,100,1,11,4,1,10,2,0,0,100,10,10,0,1,1,1,1,0,1,0,0
77,76,A1,100,1,1,2,2,7,6,0,0,100,2,2,2,1,1,0,0,0,0,0,0
78,77,A1,300,1,1,3,2,2,1,0,0,100,5,1,0,1,0,0,0,1,1,0,0
79,78,A1,500,2,1,0,2,9,1,3,3,100,1,2,0,1,0,0,1,0,0,0,0
80,79,A1,1000,1,1,3,2,1,9,0,0,100,2,5,0,1,0,0,0,0,1,0,0
81,80,A1,500,1,12,4,7,1,1,0,0,100,10,10,0,1,1,0,1,0,0,1,0
82,81,S52,600,2,1,1,1,10,6,3,1,100,1,0,0,1,1,1,1,0,1,1,1
83,82,S52,1300,1,1,0,1,10,6,3,1,100,1,1,0,1,0,1,1,0,0,0,0
84,83,S52,2000,3,1,4,10,10,11,0,0,100,5,5,0,1,0,1,1,0,0,0,0
85,84,S52,300,1,15,2,2,11,6,0,0,100,2,5,0,1,0,1,1,0,1,0,0
86,85,S52,10050,1,1,2,1,10,6,0,1,100,5,5,0,1,0,1,1,1,0,1,1
87,86,S52,9000,3,1,2,10,10,10,0,1,100,9,9,0,1,1,1,1,0,1,0,0
88,87,S52,300,1,15,3,10,10,10,0,0,100,9,9,0,1,0,1,1,0,1,0,0
89,88,S52,300,1,14,1,2,10,10,0,0,100,5,5,0,1,0,1,1,0,1,0,0
90,89,S52,3500,1,1,2,7,6,1,0,0,100,2,2,0,1,1,1,1,1,0,1,0
91,90,S52,300,1,?,0,2,9,7,0,0,100,1,1,0,1,1,0,0,0,0,0,0
92,91,S52,16000,4,1,2,7,9,2,0,2,100,1,5,0,1,1,1,1,1,0,1,0
93,92,S52,500,1,14,1,14,1,6,0,0,100,2,2,0,1,1,1,1,1,0,1,0
94,93,S52,3500,1,1,3,7,1,2,0,0,100,2,2,0,1,1,1,1,0,0,1,0
95,94,S52,300,1,15,1,1,7,2,0,0,100,5,5,0,1,1,1,0,1,0,1,0
96,95,S52,5000,1,1,0,1,10,2,3,2,100,5,5,0,1,1,1,1,1,0,1,0
97,96,S52,10000,1,1,3,1,10,6,0,1,100,5,5,0,1,1,1,1,1,1,1,1
98,97,S52,10000,?,1,0,10,2,6,0,1,75,0,0,0,1,0,1,1,0,1,0,0
99,98,S52,29000,3,1,2,10,6,1,3,3,100,2,0,0,1,1,1,1,1,1,1,1
100,99,S52,8250,1,1,3,6,2,10,0,0,100,1,2,0,1,1,1,1,1,1,1,1
101,100,S52,250,1,7,1,1,10,6,0,0,100,2,5,0,1,1,1,1,1,1,1,1
102,101,S52,80000,2,1,1,7,6,2,3,4,100,2,2,0,1,1,1,1,0,0,0,0
103,102,S52,300,1,15,1,2,7,2,0,0,100,1,1,0,1,?,1,1,0,0,0,0
104,103,S52,500000,9,1,3,10,6,2,3,3,75,1,1,0,1,1,1,1,1,1,1,1
105,104,S52,50000,10,1,4,2,10,6,0,0,100,2,2,0,1,1,1,1,1,1,1,1
106,105,S52,8000,1,1,2,1,10,6,3,2,100,0,2,0,1,1,1,0,0,0,0,0
107,106,S52,450,1,1,1,6,10,10,0,1,25,1,1,0,1,1,1,1,0,1,1,0
108,107,S52,300,1,?,0,1,10,6,0,0,100,0,1,0,1,0,1,0,0,0,0,0
109,108,S52,50,1,1,1,6,10,10,0,0,50,0,0,0,1,0,1,1,0,1,0,0
110,109,S52,50,1,1,2,10,10,6,0,0,100,9,5,0,1,1,1,0,0,0,0,0
111,110,S52,8300,2,1,2,1,10,6,3,3,100,2,2,0,1,1,1,1,0,1,0,0
112,111,S52,1800,1,1,0,10,1,6,3,2,100,1,2,0,1,1,1,1,1,1,1,1
113,112,S52,150,2,1,1,1,10,6,0,1,100,0,1,0,1,1,1,1,1,1,1,1
114,113,S52,500,1,1,3,10,1,6,0,0,75,0,1,0,1,1,1,1,1,1,1,0
115,114,S52,900,?,1,1,1,10,6,3,2,100,2,2,0,1,1,1,1,1,1,1,0
116,115,S52,300,1,15,1,10,1,6,0,0,100,1,1,0,1,0,1,1,0,0,0,0
117,116,S52,300,1,15,1,10,1,6,0,0,100,1,1,0,1,0,1,1,0,0,0,0
118,117,S52,300,1,15,1,1,10,6,1,0,100,1,1,0,1,0,1,0,0,0,0,0
119,118,S52,3000,1,1,3,2,10,6,0,1,100,5,5,0,1,1,1,1,0,0,1,0
120,119,S52,450,1,1,1,10,10,10,3,3,100,5,2,0,1,1,1,0,1,0,1,0
121,120,S52,300,1,15,1,1,10,6,0,0,100,5,5,0,1,1,0,0,1,0,0,0
122,121,S52,200,1,5,2,10,6,1,3,0,100,1,1,0,1,1,1,1,0,0,0,0
123,122,S52,700,1,1,0,10,6,7,3,2,100,1,1,0,1,1,1,1,0,1,1,1
124,123,S52,300,1,14,1,10,6,2,0,0,100,1,1,0,1,0,1,0,0,0,0,0
125,124,S52,300,1,12,2,10,10,2,0,0,50,2,5,0,1,0,1,0,0,0,0,0
126,125,S52,300,1,15,1,10,10,6,0,0,100,0,2,0,1,0,0,0,0,0,0,0
127,126,S52,300,1,15,1,1,7,6,0,0,100,1,1,0,1,0,0,0,0,1,0,0
128,127,S52,200,1,1,1,6,10,1,0,0,100,1,1,0,1,1,1,1,1,1,1,1
129,128,S52,350,1,1,2,10,1,6,0,0,100,1,1,0,1,1,1,1,1,1,1,0
130,129,S52,300,1,15,1,1,1,1,0,0,100,5,5,0,1,0,0,0,0,0,0,0
131,130,S52,1000,?,12,1,1,1,10,0,0,100,2,9,0,1,0,1,0,0,0,0,0
132,131,S52,100,1,1,1,1,7,10,0,0,100,9,9,0,1,0,1,1,1,0,0,0
133,132,S52,300,1,15,1,1,7,1,0,0,100,2,5,0,1,0,0,0,0,0,0,0
134,133,S52,6300,3,1,0,7,1,5,0,0,100,2,1,0,1,1,1,1,0,0,0,0
135,134,S52,3400,2,2,0,6,7,10,0,0,75,1,1,0,1,1,0,0,0,0,1,0
136,135,S52,2400,2,1,0,2,6,10,3,4,75,1,1,0,1,1,0,0,0,0,0,0
137,136,S52,115000,5,1,0,10,2,6,3,4,100,0,1,0,1,1,1,0,0,0,0,0
138,137,S52,40000,4,1,1,10,7,6,3,4,100,1,1,0,1,1,1,1,1,1,0,0
139,138,S52,300,1,1,0,6,9,2,3,3,50,0,0,0,1,1,1,1,0,1,0,0
140,139,S52,1500,1,1,0,9,6,6,3,0,25,0,0,0,1,1,0,0,0,0,0,0
141,140,S52,4000,2,1,0,1,10,6,3,4,100,2,1,0,1,1,1,0,0,0,0,0
142,141,S52,360000,12,1,1,10,1,7,3,4,100,1,1,0,1,1,1,1,1,1,1,0
143,142,S52,4100,5,1,1,1,10,2,3,3,100,0,1,0,1,1,1,1,0,1,0,0
144,143,S52,2300,1,1,1,2,6,10,1,3,100,0,0,0,1,1,1,1,1,1,1,0
145,144,S52,1500,3,1,1,2,1,10,3,3,100,2,2,0,1,1,1,1,1,1,1,0
146,145,S52,300,1,1,3,2,1,6,0,0,100,2,1,0,1,1,1,0,0,0,0,0
147,146,S52,15000,2,1,2,2,1,10,3,3,100,0,1,0,1,1,1,1,0,0,1,0
148,147,S52,1700,1,1,3,9,6,2,0,0,25,0,0,0,1,1,1,1,0,1,1,0
149,148,S52,2500,?,1,3,2,6,10,0,0,75,0,0,0,1,1,1,1,1,0,1,0
150,149,S52,2400,1,1,2,2,10,1,0,1,100,1,1,0,1,1,1,1,0,1,1,0
151,150,S52,300,1,12,3,2,10,1,0,0,100,1,1,0,1,1,1,1,1,1,0,0
152,151,S52,2600,2,1,2,9,2,6,3,2,50,0,1,0,1,1,1,1,0,0,0,0
153,152,S52,600,1,1,4,9,2,10,0,0,50,0,0,0,1,0,1,0,1,0,0,0
154,153,S52,2000,1,1,3,9,2,6,0,0,50,0,0,0,1,1,1,1,0,0,0,0
155,154,S52,26000,3,1,1,1,2,10,3,4,100,1,2,0,1,1,1,1,1,1,1,0
156,155,S52,350,1,1,0,2,1,10,3,3,100,1,1,0,1,1,1,1,1,1,1,0
157,156,S52,200,1,1,3,2,6,5,0,0,50,1,1,1,2,1,1,1,0,0,0,0
158,157,S52,2300,1,1,2,1,1,6,0,0,100,2,1,0,1,1,1,1,0,1,1,0
159,158,S52,300,1,15,1,1,1,6,0,0,100,1,1,2,1,0,1,0,0,0,0,0
160,159,S52,600,1,5,2,6,6,10,3,2,100,2,2,0,1,1,1,1,1,1,1,0
161,160,S52,300,1,12,3,1,2,10,0,0,100,1,2,0,1,0,1,0,0,0,0,0
162,161,S52,1400,1,1,1,1,2,10,0,0,100,5,5,0,1,1,1,1,1,1,1,0
163,162,S52,3000,1,1,3,2,10,1,0,0,100,5,2,0,1,1,1,1,1,1,1,0
164,163,S52,300,1,15,1,1,1,10,0,0,100,5,5,0,1,0,1,0,0,0,0,0
165,164,S52,2300,1,1,1,2,6,10,3,3,50,1,0,0,1,1,1,1,0,1,0,0
166,165,S52,2600,1,1,2,2,10,6,0,0,50,0,0,0,1,1,1,1,0,1,0,0
167,166,S52,300,1,14,1,2,7,10,0,0,100,2,0,0,1,0,1,1,1,0,0,0
168,167,S52,300,1,1,3,6,2,9,0,0,,0,0,0,1,1,1,1,1,1,0,0
169,168,S52,22000,1,1,4,6,9,6,0,0,100,0,0,0,1,1,1,1,1,1,0,0
170,169,S52,300,1,12,3,10,2,1,0,0,100,2,0,0,1,0,1,0,0,0,0,0
171,170,S52,300,1,12,4,1,10,2,0,0,100,5,5,0,1,0,1,0,0,0,0,0
172,171,S52,1000,2,1,3,2,6,1,0,0,100,0,1,0,1,1,1,1,1,1,1,1
173,172,S52,300,1,15,1,1,1,9,0,0,100,0,1,0,1,0,1,0,0,0,0,0
174,173,S52,300,1,15,1,1,1,10,0,0,100,9,5,0,1,0,1,0,0,0,0,0
175,174,S52,1100,2,1,3,2,6,6,0,0,100,0,0,0,1,0,1,1,1,1,1,1
176,175,S52,200,1,1,1,6,6,2,0,0,75,0,0,0,1,0,1,1,1,1,1,1
177,176,S52,1000,1,1,4,2,1,6,0,0,100,1,1,0,1,1,0,0,0,1,0,0
178,177,S52,300,1,14,2,2,9,7,0,0,75,0,2,0,1,0,1,0,0,0,0,0
179,178,S52,1000,1,14,2,7,1,9,0,0,75,1,2,0,1,0,1,0,0,0,0,0
180,179,S52,1100,1,5,0,2,1,10,3,3,100,5,1,0,2,0,0,0,0,0,0,0
181,180,S52,2500,1,1,4,2,6,7,0,0,100,5,1,0,1,1,1,1,0,1,1,0
182,181,S52,4000,2,1,1,4,6,9,3,2,80,1,1,0,1,1,1,1,0,1,1,1
183,182,S52,200,1,12,3,10,1,6,0,0,100,1,2,0,1,0,1,1,0,0,0,0
184,183,S52,350,1,1,0,2,6,10,1,3,100,1,1,0,1,1,1,1,0,0,0,0
185,184,S52,4000,1,12,4,2,6,10,0,0,100,1,1,0,1,0,1,1,0,0,0,0
186,185,S52,2300,1,12,3,2,2,1,0,0,75,2,1,0,1,0,1,0,0,0,0,0
187,186,S52,300,1,?,2,7,10,2,0,0,100,5,5,0,1,1,1,1,1,0,1,0
188,187,S52,500,1,1,4,1,10,2,0,0,100,5,5,0,1,1,1,1,1,0,1,0
189,188,S52,300,1,12,3,2,1,6,0,0,100,1,0,0,1,0,1,1,0,0,0,0
190,189,S52,300,?,12,3,2,6,10,0,0,100,1,1,0,,0,1,1,0,0,0,0
